FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
88.90993713,52.11316094,4.07,270,1,summer,FireRegion7
88.90993713,52.11316094,4.07,270,1,summer,FireRegion8
88.90993713,52.11316094,4.07,270,1,summer,FireRegion9
88.90993713,52.11316094,4.07,270,1,summer,FireRegion10
88.90993713,52.11316094,4.07,270,1,summer,FireRegion11
88.90993713,52.11316094,4.07,270,1,summer,FireRegion12
88.90993713,52.11316094,4.07,270,1,summer,FireRegion13
88.90993713,52.11316094,4.07,270,1,summer,FireRegion14
88.90993713,52.11316094,4.07,270,1,summer,FireRegion15
88.90993713,52.11316094,4.07,270,1,summer,FireRegion16
88.90993713,52.11316094,4.07,270,1,summer,FireRegion17
88.90993713,52.11316094,4.07,270,1,summer,FireRegion18
88.90993713,52.11316094,4.07,270,1,summer,FireRegion1
88.90993713,52.11316094,4.07,270,1,summer,FireRegion2
88.90993713,52.11316094,4.07,270,1,summer,FireRegion3
88.29789823,53.15364626,2.66,270,1,summer,FireRegion6
88.34669376,55.42964313,2.52,319,1,summer,FireRegion6
88.66379298,57.82413848,2.41,309,1,summer,FireRegion6
88.71270931,60.15510111,2.09,281,1,summer,FireRegion6
88.76164179,62.13408574,2.4,271,1,summer,FireRegion6
88.81059042,64.15387451,2.66,294,1,summer,FireRegion6
88.85955521,66.30376019,2.96,287,1,summer,FireRegion6
88.35889817,68.00197655,2.88,288,1,summer,FireRegion6
88.14075387,69.71220923,2.9,273,1,summer,FireRegion6
88.18949751,71.77159974,3.76,257,1,summer,FireRegion6
88.23825725,74.08539995,3.58,149,1,summer,FireRegion6
88.28703309,76.40078074,1.57,260,1,summer,FireRegion6
88.33582503,78.65657755,2.71,282,1,summer,FireRegion6
88.25592109,80.58774696,2.44,285,1,summer,FireRegion6
87.73282746,82.30386598,2.72,305,1,summer,FireRegion6
87.78143642,84.35135416,2.84,281,1,summer,FireRegion6
87.97774319,86.65874743,2.43,271,1,summer,FireRegion6
88.02643302,88.83481124,3.88,263,1,summer,FireRegion6
88.07513892,91.12892419,3.03,272,1,summer,FireRegion6
88.59867727,93.6673746,3.22,265,1,summer,FireRegion6
88.94739392,96.27275576,3.44,278,1,summer,FireRegion6
88.99640388,98.46988889,3.18,270,1,summer,FireRegion6
89.25145985,101.1407086,4.06,245,1,summer,FireRegion6
89.3005702,103.7462825,3.03,116,1,summer,FireRegion6
89.34969676,106.3347923,3.95,280,1,summer,FireRegion6
89.39883953,108.7715333,4.07,283,1,summer,FireRegion6
89.44799854,111.1988815,3.09,286,1,summer,FireRegion6
89.49717377,113.5171725,3.84,276,1,summer,FireRegion6
