FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
87.8403456,50.84206956,2.97,295,1,summer,FireRegion3
87.88899007,52.70616337,3.67,265,1,summer,FireRegion3
87.9376506,54.57311758,2.39,229,1,summer,FireRegion3
87.98632719,56.43847164,3.96,254,1,summer,FireRegion3
88.03501985,58.49387128,2.69,281,1,summer,FireRegion3
88.08372859,60.48922786,2.74,293,1,summer,FireRegion3
88.13245341,62.24394556,3.1,277,1,summer,FireRegion3
87.32035504,63.67757318,3.27,302,1,summer,FireRegion3
87.36882783,65.55268741,3.05,294,1,summer,FireRegion3
87.53402175,67.55628233,1.69,42,1,summer,FireRegion3
87.58256508,69.2487332,2.91,257,1,summer,FireRegion3
87.10028692,70.67995304,1.9,205,1,summer,FireRegion3
87.14868706,72.4880534,3.19,212,1,summer,FireRegion3
87.29441106,74.42126504,2.16,241,1,summer,FireRegion3
87.78093873,76.52968085,1.51,306,1,summer,FireRegion3
87.82956358,78.52562721,2.26,93,1,summer,FireRegion3
87.87820449,80.57429099,1.28,283,1,summer,FireRegion3
87.69714223,82.18557454,1.79,300,1,summer,FireRegion3
87.27093911,83.66697073,1.92,265,1,summer,FireRegion3
86.45936887,84.94002246,3.68,290,1,summer,FireRegion3
86.87526359,87.0073378,2.78,311,1,summer,FireRegion3
88.88895861,89.80696838,1.89,300,1,summer,FireRegion3
91.25816026,93.29780205,3.46,258,2,summer,FireRegion3
91.3369356,96.54038475,2.2,28,1,summer,FireRegion3
92.5974138,100.5777341,1.13,275,2,summer,FireRegion3
92.64762881,104.6641649,2.32,259,2,summer,FireRegion3
91.40597941,107.2177775,2.51,300,2,summer,FireRegion3
91.45580107,110.2937904,2.89,305,2,summer,FireRegion3
91.41970149,113.2474913,2.19,97,2,summer,FireRegion3
91.46952768,116.3413279,1.73,89,2,summer,FireRegion3
91.51937032,119.5247999,2.44,305,2,summer,FireRegion3
91.0262938,122.1539537,2.31,279,2,summer,FireRegion3
90.80246004,124.8074192,2.96,268,2,summer,FireRegion3
90.85208245,127.8495261,2.17,281,2,summer,FireRegion3
90.43501654,130.2880938,2.77,274,2,summer,FireRegion3
90.48451764,133.2545253,2.18,250,2,summer,FireRegion3
90.53403508,136.2986882,1.51,254,2,summer,FireRegion3
90.58356887,139.4414781,1.93,262,2,summer,FireRegion3
91.13631403,142.953429,2.03,285,2,summer,FireRegion3
91.31535571,146.4836368,2.4,271,2,summer,FireRegion3
92.08462264,150.4363224,2.4,262,3,summer,FireRegion3
92.13466836,154.2038971,2.41,249,3,summer,FireRegion3
92.18473059,157.8791738,2.02,272,3,summer,FireRegion3
92.21605892,161.1286836,1.62,125,3,summer,FireRegion3
92.08223089,164.2656827,2.66,290,4,summer,FireRegion3
91.57182473,167.0666415,2.57,290,3,summer,FireRegion3
91.62170114,170.4386316,2.12,272,3,summer,FireRegion3
91.67159403,173.907347,1.36,230,3,summer,FireRegion3
90.8548022,176.3536956,2.01,243,2,summer,FireRegion3
91.2634562,179.8487355,2.22,263,3,summer,FireRegion3
91.19913814,182.4376012,2.3,281,3,summer,FireRegion3
91.16495131,185.0199821,2.2,116,3,summer,FireRegion3
91.2146934,187.967936,3.2,289,3,summer,FireRegion3
91.2644519,190.7506865,2.16,289,3,summer,FireRegion3
91.83151221,194.1879472,1.9,142,3,summer,FireRegion3
93.28795744,198.2766431,2.11,311,5,summer,FireRegion3
94.20207616,202.6814747,2.21,298,5,summer,FireRegion3
94.25282095,206.7606876,1.36,288,5,summer,FireRegion3
94.3035825,210.7291779,2.12,301,5,summer,FireRegion3
94.33763705,214.4748426,1.62,290,5,summer,FireRegion3
94.21187547,218.1312222,2.6,279,5,summer,FireRegion3
93.98067465,221.6326651,1.95,295,5,summer,FireRegion3
93.71770319,225.0171355,1.66,293,5,summer,FireRegion3
93.72595378,228.487179,2.19,278,5,summer,FireRegion3
93.40927978,231.7507626,3.23,288,5,summer,FireRegion3
91.89746861,234.1488691,2.46,284,4,summer,FireRegion3
91.34779103,236.606319,1.92,272,3,summer,FireRegion3
90.70322338,238.848855,1.51,279,2,summer,FireRegion3
90.75281302,241.4096425,1.57,273,2,summer,FireRegion3
90.80241904,244.3369088,1.5,313,2,summer,FireRegion3
91.70168301,247.7059241,1.56,292,3,summer,FireRegion3
93.02389206,251.6149973,1.56,275,5,summer,FireRegion3
93.300972,255.4903937,1,277,5,summer,FireRegion3
93.35141929,259.2095807,1.37,289,5,summer,FireRegion3
93.61785764,263.1604448,2.93,251,5,summer,FireRegion3
93.67540543,267.1053355,2.88,248,5,summer,FireRegion3
93.72597634,270.8936708,2.86,264,5,summer,FireRegion3
93.74947439,274.3339442,2.44,246,5,summer,FireRegion3
93.56953844,277.6216382,2.86,263,5,summer,FireRegion3
93.1698969,280.6863884,2.13,279,5,summer,FireRegion3
93.02410845,283.8031664,1.25,275,5,summer,FireRegion3
93.07446434,286.6299008,1.6,272,5,summer,FireRegion3
93.12483685,289.5885227,1.61,270,5,summer,FireRegion3
93.175226,292.5806541,1.76,273,5,summer,FireRegion3
93.22563177,295.7183095,2.51,279,5,summer,FireRegion3
92.55731643,298.2065704,2.53,289,5,summer,FireRegion3
92.23073534,300.6607935,2.16,286,4,summer,FireRegion3
91.10875063,302.6415256,1.86,274,3,summer,FireRegion3
90.87077952,304.7751696,1.44,275,2,summer,FireRegion3
90.50604427,306.7819058,0.93,250,2,summer,FireRegion3
90.94610281,309.4509761,1.47,35,3,summer,FireRegion3
91.05819527,312.0994712,1.27,274,3,summer,FireRegion3
91.10790211,314.7308969,1.1,266,3,summer,FireRegion3
91.15762536,317.3064146,1.23,278,3,summer,FireRegion3
91.20736503,319.8486073,1.41,279,3,summer,FireRegion3
91.25712112,322.2966828,1.95,277,3,summer,FireRegion3
91.20510883,324.5572348,1.62,335,3,summer,FireRegion3
90.7701411,326.6164213,1.65,266,2,summer,FireRegion3
