FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
88.90993713,52.11316094,4.07,270,1,summer,FireRegion10
88.90993713,52.11316094,4.07,270,1,summer,FireRegion11
88.90993713,52.11316094,4.07,270,1,summer,FireRegion12
88.90993713,52.11316094,4.07,270,1,summer,FireRegion13
88.90993713,52.11316094,4.07,270,1,summer,FireRegion14
88.90993713,52.11316094,4.07,270,1,summer,FireRegion15
88.90993713,52.11316094,4.07,270,1,summer,FireRegion16
88.90993713,52.11316094,4.07,270,1,summer,FireRegion17
88.90993713,52.11316094,4.07,270,1,summer,FireRegion18
88.90993713,52.11316094,4.07,270,1,summer,FireRegion1
88.90993713,52.11316094,4.07,270,1,summer,FireRegion2
88.90993713,52.11316094,4.07,270,1,summer,FireRegion3
88.90993713,52.11316094,4.07,270,1,summer,FireRegion4
88.90993713,52.11316094,4.07,270,1,summer,FireRegion5
88.90993713,52.11316094,4.07,270,1,summer,FireRegion6
87.71816065,52.35576983,4.13,257,1,summer,FireRegion9
87.76676478,54.34892845,3.28,205,1,summer,FireRegion9
87.82455286,56.47855277,3.33,212,1,summer,FireRegion9
88.1726947,58.76217997,3.29,241,1,summer,FireRegion9
88.22144889,60.79956636,2.54,306,1,summer,FireRegion9
88.27021917,62.76041785,4.03,93,1,summer,FireRegion9
88.31900556,64.88517508,4.08,283,1,summer,FireRegion9
88.36780806,66.78713622,3.46,300,1,summer,FireRegion9
88.41662667,68.87146146,2.94,265,1,summer,FireRegion9
88.15751379,70.59196305,4.49,290,1,summer,FireRegion9
87.78925628,72.35081832,4.12,311,1,summer,FireRegion9
87.76244559,74.17422762,4.56,300,1,summer,FireRegion9
87.14842894,75.75606397,3.91,258,1,summer,FireRegion9
87.19684497,77.8054513,3.18,28,1,summer,FireRegion9
87.24527698,79.80051136,1.9,275,1,summer,FireRegion9
87.79312559,82.14677273,2.21,259,1,summer,FireRegion9
87.84175447,84.39602838,2.78,300,1,summer,FireRegion9
87.8903994,86.43842483,3.19,305,1,summer,FireRegion9
88.69743855,89.05602448,3.18,97,1,summer,FireRegion9
88.74636599,91.45867276,2.91,89,1,summer,FireRegion9
88.79530957,93.91415843,3.33,305,1,summer,FireRegion9
88.84426932,96.03791885,3.55,279,1,summer,FireRegion9
87.9674725,97.7558565,4.07,268,1,summer,FireRegion9
88.01615894,99.68035831,3.23,281,1,summer,FireRegion9
88.06486145,101.6813677,4.34,274,1,summer,FireRegion9
86.44539118,102.9845761,4.11,250,1,summer,FireRegion9
86.87157293,105.0403535,3.72,254,1,summer,FireRegion9
88.54152895,107.7284778,3.31,262,1,summer,FireRegion9
90.40324988,111.017281,3.26,285,1,summer,FireRegion9
91.63738172,114.6402219,3,271,2,summer,FireRegion9
92.18794335,118.3694525,2.31,262,2,summer,FireRegion9
92.61105288,122.2378253,3.18,249,2,summer,FireRegion9
92.66797534,126.0463367,3.85,272,3,summer,FireRegion9
92.71821365,129.8146165,3.25,125,2,summer,FireRegion9
92.13874156,132.7107858,2.87,290,2,summer,FireRegion9
92.18880514,136.2832851,3.92,290,2,summer,FireRegion9
91.90425376,139.1883823,3.09,272,2,summer,FireRegion9
91.95423993,142.6131106,2.91,230,2,summer,FireRegion9
92.21910443,146.1958594,3.26,243,2,summer,FireRegion9
92.26919454,149.3736134,3.51,263,3,summer,FireRegion9
92.26983987,152.3363438,3.4,281,3,summer,FireRegion9
92.27965547,155.3091247,2.7,116,2,summer,FireRegion9
91.77738044,157.9813259,3.25,289,2,summer,FireRegion9
91.72830002,160.76469,3.18,289,2,summer,FireRegion9
91.54014855,163.4494565,3.07,142,2,summer,FireRegion9
91.59001451,166.5633738,2.42,311,2,summer,FireRegion9
92.1372897,169.9524286,3.1,298,3,summer,FireRegion9
92.27473351,173.3452267,2.75,288,3,summer,FireRegion9
93.11211963,177.0769145,2.81,301,3,summer,FireRegion9
