FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
87.8946587,54.68886944,1.52,294,1,summer,FireRegion3
87.9433211,56.70826286,2.44,287,1,summer,FireRegion3
87.99199956,58.49733081,1.81,288,1,summer,FireRegion3
87.75221095,60.13274119,2.02,273,1,summer,FireRegion3
87.6323115,61.76592185,3.15,257,1,summer,FireRegion3
87.68088728,63.78589379,2.29,149,1,summer,FireRegion3
89.17094137,66.72352898,1.99,260,1,summer,FireRegion3
89.51142553,69.58310895,2.45,282,1,summer,FireRegion3
89.56062171,72.25822189,1.34,285,1,summer,FireRegion3
89.21678739,74.37611831,1.23,305,1,summer,FireRegion3
87.74751518,75.89867792,1.93,281,1,summer,FireRegion3
87.01947071,77.41722133,3.71,271,1,summer,FireRegion3
86.82176403,78.97963328,3.15,263,1,summer,FireRegion3
86.27596351,80.36558565,2.93,272,1,summer,FireRegion3
86.32409149,82.02457426,2.44,265,1,summer,FireRegion3
86.53416897,83.96521759,2.28,278,1,summer,FireRegion3
86.5823822,85.83179811,2.21,270,1,summer,FireRegion3
88.1676389,88.4973882,1.13,245,1,summer,FireRegion3
89.53412907,91.5290373,1.28,116,1,summer,FireRegion3
89.78319849,94.41524265,2.36,280,1,summer,FireRegion3
89.69607894,96.75913787,2.69,283,1,summer,FireRegion3
90.03487598,99.73395444,2.66,286,1,summer,FireRegion3
90.38065222,102.8455724,2.51,276,1,summer,FireRegion3
90.87637597,106.1291062,1.69,247,1,summer,FireRegion3
91.23639106,109.4999815,2.01,119,2,summer,FireRegion3
91.55276051,112.9608262,1.59,103,2,summer,FireRegion3
91.60263063,116.100955,1.43,272,2,summer,FireRegion3
91.62415647,119.0201791,2.74,278,2,summer,FireRegion3
91.67405016,122.2406005,3.25,284,2,summer,FireRegion3
91.6994906,125.2109882,2.17,246,2,summer,FireRegion3
90.98198996,127.7545564,2.67,306,2,summer,FireRegion3
90.10183767,129.9786872,2.38,278,2,summer,FireRegion3
90.15122877,132.4710453,1.52,285,1,summer,FireRegion3
90.12494919,134.9177933,2.27,289,2,summer,FireRegion3
90.17434792,137.6568437,2.18,281,2,summer,FireRegion3
90.63070408,140.6433079,1.93,280,2,summer,FireRegion3
90.68026978,143.5108835,1.84,264,2,summer,FireRegion3
90.72985185,146.041449,1.55,297,2,summer,FireRegion3
89.85623682,148.1298032,2.34,295,2,summer,FireRegion3
89.60403997,150.3094966,2.4,273,2,summer,FireRegion3
88.97746895,152.2395254,1.8,288,1,summer,FireRegion3
89.02648884,154.4559904,2.66,276,1,summer,FireRegion3
89.07552491,156.802601,2.12,218,1,summer,FireRegion3
89.12457717,159.1345085,2.16,200,1,summer,FireRegion3
89.3183753,161.7113106,2.2,273,1,summer,FireRegion3
89.56127483,164.3628064,1.5,285,1,summer,FireRegion3
89.61048746,166.7555024,1.97,208,2,summer,FireRegion3
90.62929378,169.780263,2.1,263,2,summer,FireRegion3
90.7182329,172.7123415,1.47,268,2,summer,FireRegion3
90.76782751,175.5171662,2.44,276,2,summer,FireRegion3
