FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
88.90993713,52.11316094,4.07,270,1,summer,FireRegion16
88.90993713,52.11316094,4.07,270,1,summer,FireRegion17
88.90993713,52.11316094,4.07,270,1,summer,FireRegion18
88.90993713,52.11316094,4.07,270,1,summer,FireRegion1
88.90993713,52.11316094,4.07,270,1,summer,FireRegion2
88.90993713,52.11316094,4.07,270,1,summer,FireRegion3
88.90993713,52.11316094,4.07,270,1,summer,FireRegion4
88.90993713,52.11316094,4.07,270,1,summer,FireRegion5
88.90993713,52.11316094,4.07,270,1,summer,FireRegion6
88.90993713,52.11316094,4.07,270,1,summer,FireRegion7
88.90993713,52.11316094,4.07,270,1,summer,FireRegion8
88.90993713,52.11316094,4.07,270,1,summer,FireRegion9
88.90993713,52.11316094,4.07,270,1,summer,FireRegion10
88.90993713,52.11316094,4.07,270,1,summer,FireRegion11
88.90993713,52.11316094,4.07,270,1,summer,FireRegion12
88.18666692,47.288094,3.78,285,1,summer,FireRegion15
88.78716348,49.64698756,3.37,282,1,summer,FireRegion15
88.83612054,51.73024962,4.72,287,1,summer,FireRegion15
88.33371027,53.42845957,4.2,289,1,summer,FireRegion15
88.13257164,55.14792093,4.52,211,1,summer,FireRegion15
88.04111208,56.85779527,3.87,238,1,summer,FireRegion15
87.01324314,58.20765497,4.22,287,1,summer,FireRegion15
87.48248574,65.46461239,3.52,275,1,summer,FireRegion15
88.19613878,67.68716542,3.69,272,1,summer,FireRegion15
88.83780624,70.09032452,3.67,270,1,summer,FireRegion15
88.88678002,72.30629583,3.37,319,1,summer,FireRegion15
88.93576996,74.55811863,3.58,309,1,summer,FireRegion15
88.98477608,76.79616765,3.86,281,1,summer,FireRegion15
89.0934731,79.30844868,3.25,271,1,summer,FireRegion15
89.12222616,81.39047597,3.35,294,1,summer,FireRegion15
88.86084225,83.29571158,3.7,287,1,summer,FireRegion15
88.2348237,84.90134949,3.43,288,1,summer,FireRegion15
88.2835984,87.11456236,3.62,273,1,summer,FireRegion15
88.3323892,89.27643152,3.72,257,1,summer,FireRegion15
88.51445736,91.74580872,3.96,149,1,summer,FireRegion15
88.31665567,93.53518887,4.55,260,1,summer,FireRegion15
87.60737899,95.01467356,4.7,282,1,summer,FireRegion15
88.08244981,97.37499613,4.21,285,1,summer,FireRegion15
88.9577647,100.1267236,3.9,305,1,summer,FireRegion15
89.00677809,102.4846451,3.09,281,1,summer,FireRegion15
89.05580765,105.0457055,4.01,271,1,summer,FireRegion15
89.88002019,108.1580102,3.57,263,1,summer,FireRegion15
89.92933806,111.0391802,2.46,272,1,summer,FireRegion15
90.35090932,114.2726825,3.4,265,1,summer,FireRegion15
91.64455192,118.190768,3.76,278,2,summer,FireRegion15
92.1593993,122.1910942,3.57,270,2,summer,FireRegion15
92.2094697,125.6747731,3.42,245,2,summer,FireRegion15
92.25955663,129.267545,2.22,116,2,summer,FireRegion15
92.3096601,132.6749939,3.29,280,2,summer,FireRegion15
92.35978011,136.1292743,3.8,283,3,summer,FireRegion15
92.40991667,139.6302957,3.46,286,3,summer,FireRegion15
92.46006979,143.177421,3.64,276,3,summer,FireRegion15
92.51023945,146.5963037,4.01,247,3,summer,FireRegion15
92.53284533,150.0050157,3.78,119,3,summer,FireRegion15
92.18656578,153.1113386,4.03,103,3,summer,FireRegion15
92.23664515,156.4965933,3.45,272,3,summer,FireRegion15
92.05769815,159.5932228,3.95,278,3,summer,FireRegion15
92.83770329,163.8418667,4.06,284,3,summer,FireRegion15
93.28704731,168.2502656,4.07,246,4,summer,FireRegion15
93.33749,172.3423181,3.55,306,4,summer,FireRegion15
92.71035981,175.5387863,3.87,278,3,summer,FireRegion15
92.14267266,178.5538212,3.88,285,3,summer,FireRegion15
92.19273754,182.1279455,3.13,289,3,summer,FireRegion15
92.24281895,185.5613263,3.18,281,3,summer,FireRegion15
91.78001272,188.1956435,2.39,280,2,summer,FireRegion15
91.59601343,190.8799027,2.27,264,2,summer,FireRegion15
91.64670078,194.1306886,3.02,297,2,summer,FireRegion15
91.69660191,197.3907219,3.52,295,3,summer,FireRegion15
91.74651952,200.4218559,2.39,273,2,summer,FireRegion15
91.56910979,203.1060888,3.89,288,3,summer,FireRegion15
90.90179875,205.4427633,3.21,276,2,summer,FireRegion15
90.471051,207.7091529,3.01,218,2,summer,FireRegion15
90.52056399,210.3876043,3.23,200,2,summer,FireRegion15
90.56678979,212.7920652,3.54,273,2,summer,FireRegion15
90.6163344,215.6209825,3.72,285,2,summer,FireRegion15
91.17183793,218.7663895,2.74,208,2,summer,FireRegion15
93.23560963,222.8400295,3.47,263,4,summer,FireRegion15
93.90279802,227.0162362,4.03,268,5,summer,FireRegion15
93.95344401,231.093101,3.61,276,5,summer,FireRegion15
93.68079513,234.4745314,3.56,278,4,summer,FireRegion15
93.07376005,237.5251834,2.85,266,4,summer,FireRegion15
92.94074892,240.6499709,2.68,279,3,summer,FireRegion15
92.99107729,244.237785,2.21,249,3,summer,FireRegion15
93.56132121,248.2279078,2.74,264,4,summer,FireRegion15
93.98770625,252.3735841,3,249,4,summer,FireRegion15
94.03838027,256.3801731,3.61,252,5,summer,FireRegion15
94.08907102,260.1172737,3.29,265,5,summer,FireRegion15
93.77204086,263.4770018,2.48,284,4,summer,FireRegion15
93.42412655,266.6804178,3.03,301,4,summer,FireRegion15
93.4371921,269.9960597,2.36,143,4,summer,FireRegion15
93.48768436,273.8343232,3.16,313,4,summer,FireRegion15
93.95332995,277.8975842,2.4,287,4,summer,FireRegion15
94.13210318,282.0399362,3.17,261,5,summer,FireRegion15
94.18282487,286.0651026,3.4,280,5,summer,FireRegion15
94.23356331,290.1202244,2.55,276,5,summer,FireRegion15
94.2843185,293.5738283,2.19,259,5,summer,FireRegion15
94.33509044,297.1469487,2.64,231,5,summer,FireRegion15
94.37206052,300.3547189,3.48,251,5,summer,FireRegion15
94.42286143,303.67463,4.39,303,5,summer,FireRegion15
93.90884376,306.6006506,3.31,284,5,summer,FireRegion15
93.49073962,309.3935167,2.86,73,4,summer,FireRegion15
93.31886233,312.2095021,2.7,291,4,summer,FireRegion15
93.22101406,315.0017823,2.97,291,4,summer,FireRegion15
93.27143496,318.0160158,2.9,274,4,summer,FireRegion15
93.3218725,321.0990854,2.08,287,4,summer,FireRegion15
93.37232669,324.2463377,1.84,289,4,summer,FireRegion15
93.42279755,327.4371585,1.94,272,4,summer,FireRegion15
93.72252577,330.8887264,2.17,9,4,summer,FireRegion15
93.77311224,334.2125178,2.93,304,4,summer,FireRegion15
93.82371541,337.2939866,2.94,118,4,summer,FireRegion15
93.4571792,340.0872193,3.79,222,4,summer,FireRegion15
93.29987475,342.8728789,2.89,294,4,summer,FireRegion15
93.35032169,345.7016366,3.3,285,4,summer,FireRegion15
93.38097308,348.52807,3.3,282,4,summer,FireRegion15
93.43144679,351.4101052,2.87,282,4,summer,FireRegion15
93.12292914,354.0929229,2.51,259,4,summer,FireRegion15
93.15110319,356.8738138,3.05,255,4,summer,FireRegion15
93.13057233,359.6099554,2.43,253,4,summer,FireRegion15
92.82797055,362.1990096,1.96,250,3,summer,FireRegion15
92.05486239,364.5007854,3,267,3,summer,FireRegion15
91.85925185,366.8730215,3,288,3,summer,FireRegion15
91.90922315,369.6372748,3.38,286,3,summer,FireRegion15
92.77365729,372.7468388,4.01,360,4,summer,FireRegion15
92.82393049,375.790302,3.57,191,4,summer,FireRegion15
91.89964745,378.024674,3.11,202,3,summer,FireRegion15
91.93755782,380.4585541,2.81,279,3,summer,FireRegion15
90.83006025,382.0194549,2.22,255,2,summer,FireRegion15
90.87969177,383.9931641,3.46,209,2,summer,FireRegion15
90.92933968,385.9219722,3.47,225,2,summer,FireRegion15
91.47355139,388.1549821,3.13,223,3,summer,FireRegion15
92.10004384,390.537096,3,271,3,summer,FireRegion15
92.15009464,392.8965761,2.24,289,3,summer,FireRegion15
92.32410706,395.3186003,3.56,263,3,summer,FireRegion15
92.37423184,397.4224821,3.11,277,3,summer,FireRegion15
91.68142774,399.2204196,3.37,289,3,summer,FireRegion15
91.21786079,400.95797,3.5,311,2,summer,FireRegion15
91.26762035,402.8829314,3.76,202,3,summer,FireRegion15
91.31739633,404.9270276,2.35,262,2,summer,FireRegion15
91.05754114,406.6691434,3.91,117,2,summer,FireRegion15
88.90216146,407.8046882,4.34,291,1,summer,FireRegion15
88.95115648,409.4393984,2.6,277,1,summer,FireRegion15
89.00016768,411.0863441,2.88,276,1,summer,FireRegion15
89.04919506,412.5079494,2.45,82,1,summer,FireRegion15
89.09823863,414.0239987,3.53,125,1,summer,FireRegion15
88.84691196,415.3637951,3.41,114,1,summer,FireRegion15
88.89588874,416.8753685,3.73,134,1,summer,FireRegion15
89.05687783,418.5790358,3.62,171,1,summer,FireRegion15
91.04287238,420.8314016,3.34,297,2,summer,FireRegion15
91.09257416,422.9257443,3.04,282,2,summer,FireRegion15
91.14229235,424.9028061,3.58,9,2,summer,FireRegion15
91.19202696,426.7581215,1.84,283,2,summer,FireRegion15
91.24177798,428.6157729,1.8,272,2,summer,FireRegion15
91.29154543,430.4721779,2.56,289,2,summer,FireRegion15
91.34132931,432.3380607,2,104,2,summer,FireRegion15
91.39112963,434.3305565,2.47,219,2,summer,FireRegion15
91.63163301,436.5710949,2.49,281,3,summer,FireRegion15
91.71665281,438.4684981,3.2,317,3,summer,FireRegion15
91.70870882,440.0621777,2.99,295,3,summer,FireRegion15
91.75863043,441.7501796,3.52,108,3,summer,FireRegion15
91.80856852,443.4404263,2.87,112,3,summer,FireRegion15
91.33230453,444.8764927,1.66,257,2,summer,FireRegion15
90.82601239,446.2122451,1.59,306,2,summer,FireRegion15
90.29122231,447.4583468,2.46,346,2,summer,FireRegion15
90.34067594,448.9736675,2.03,226,2,summer,FireRegion15
90.86556523,450.71168,2.28,278,2,summer,FireRegion15
90.91520847,452.2246317,1.69,243,2,summer,FireRegion15
90.96486811,453.9100013,2,220,2,summer,FireRegion15
91.03660557,455.6378748,1.89,25,2,summer,FireRegion15
89.94651679,456.7383091,1.17,261,1,summer,FireRegion15
88.05418208,457.481152,1.01,306,1,summer,FireRegion15
86.20790761,458.0627551,1.97,250,1,summer,FireRegion15
84.62439166,458.5294459,3.16,53,1,summer,FireRegion15
85.65874016,459.5007426,2.58,326,1,summer,FireRegion15
86.68619371,460.6131662,2.23,94,1,summer,FireRegion15
87.27097891,461.7594192,3.32,304,1,summer,FireRegion15
87.47206025,462.891319,2.5,107,1,summer,FireRegion15
88.18950136,464.191778,1.97,295,1,summer,FireRegion15
88.63484147,465.5296273,3.65,302,1,summer,FireRegion15
88.68374824,466.6764999,3.62,116,1,summer,FireRegion15
88.73267116,467.7687227,4.01,291,1,summer,FireRegion15
88.68094248,206.9688361,2.89,90,1,summer,FireRegion15
87.15473545,169.4849999,2.12,96,1,summer,FireRegion15
84.69371197,169.8424929,3.03,91,1,summer,FireRegion15
82.9321859,170.0961525,3.79,82,1,summer,FireRegion15
82.97920994,170.5865823,2.77,284,1,summer,FireRegion15
83.32694739,171.3072722,2.54,282,1,summer,FireRegion15
81.72436132,171.8332903,3.35,261,1,summer,FireRegion15
83.10293562,175.2046851,2.91,145,1,fall,FireRegion15
83.59504982,175.8754736,2.36,281,1,fall,FireRegion15
82.15092455,176.3330619,3.11,235,1,fall,FireRegion15
87.4650743,52.44890639,4.06,205,1,summer,FireRegion15
87.51359487,54.40509947,3.71,212,1,summer,FireRegion15
88.22522313,56.77303501,4.43,241,1,summer,FireRegion15
88.6550362,59.23761726,3.22,306,1,summer,FireRegion15
88.70394963,61.2147638,3.54,93,1,summer,FireRegion15
88.75287922,63.5545817,2.72,283,1,summer,FireRegion15
89.95487082,66.50503107,2.66,300,1,summer,FireRegion15
90.0042134,68.98761926,2.9,265,1,summer,FireRegion15
89.78112681,71.13481249,2.02,290,1,summer,FireRegion15
