FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
87.61812795,68.56314738,1.49,281,1,summer,FireRegion3
89.40008179,71.73662104,1.86,271,1,summer,FireRegion3
89.94025712,74.85933804,0.98,263,1,summer,FireRegion3
89.78179708,77.24616307,1.27,272,1,summer,FireRegion3
88.83651245,79.13525025,1.69,265,1,summer,FireRegion3
88.61845413,81.14682216,2.08,278,1,summer,FireRegion3
88.53025301,83.16510369,0.92,270,1,summer,FireRegion3
88.57912525,85.25624406,1.62,245,1,summer,FireRegion3
88.92004206,87.93631762,1.95,116,1,summer,FireRegion3
89.39537816,90.78167292,2.48,280,1,summer,FireRegion3
89.57704289,93.64631532,2.68,283,1,summer,FireRegion3
89.62626073,96.31437979,1.22,286,1,summer,FireRegion3
89.67549482,98.74543578,2.41,276,1,summer,FireRegion3
89.72474516,101.1738618,2.89,247,1,summer,FireRegion3
89.52758238,103.4240453,1.67,119,1,summer,FireRegion3
89.57678388,105.9292161,3.01,103,1,summer,FireRegion3
89.81518244,108.8420328,3.33,272,1,summer,FireRegion3
89.8644789,111.6419013,2.06,278,1,summer,FireRegion3
89.87058989,114.0646141,1.73,284,1,summer,FireRegion3
89.84626963,116.4457812,1.93,246,1,summer,FireRegion3
89.89557635,119.0960801,2.26,306,1,summer,FireRegion3
90.10187863,122.0776466,1.84,278,1,summer,FireRegion3
90.15126975,124.7322955,1.45,285,1,summer,FireRegion3
89.97508852,127.11054,2.85,289,1,summer,FireRegion3
90.02443777,129.7489161,1.96,281,1,summer,FireRegion3
90.07380331,132.2317937,1.67,280,1,summer,FireRegion3
90.12318516,134.6464887,1.23,264,1,summer,FireRegion3
90.363882,137.5359818,1.1,297,2,summer,FireRegion3
91.12671231,140.7458662,2.24,295,2,summer,FireRegion3
91.99726532,144.2339837,1.3,273,3,summer,FireRegion3
91.55601981,146.8939612,2.07,288,2,summer,FireRegion3
90.9308262,149.3158805,1.84,276,2,summer,FireRegion3
90.23904005,151.53359,1.77,218,2,summer,FireRegion3
89.43885747,153.5325209,1.34,200,1,summer,FireRegion3
89.48802968,156.0295782,2.25,273,1,summer,FireRegion3
89.53721813,158.520447,2.84,285,2,summer,FireRegion3
89.58642282,160.8706764,2.76,208,2,summer,FireRegion3
89.63564375,163.4963589,2.23,263,2,summer,FireRegion3
89.68488094,166.1154382,2.14,268,2,summer,FireRegion3
89.73413438,168.7533539,1.98,276,2,summer,FireRegion3
90.234422,171.6124353,2.24,278,2,summer,FireRegion3
91.32587731,174.9197397,1.57,266,3,summer,FireRegion3
